date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-03-12 14:38:50,SeGomezok,,0,1,9,"Aparentemente el COVID-19 genera pérdida de memoria, hace algunos meses había gente que se asustaba por el riesgo país.. y hoy parece que no es algo tan temerario?? HIPOCRESÍA #VolvieronPeores",,,#VolvieronPeores,1238112218111266821,https://twitter.com/SeGomezok/status/1238112218111266821
2020-03-12 14:13:06,GastonBres95,,0,2,2,"#RiesgoPaís - #AHORA 3.233pb En las primeras horas de la mañana trepa 284 puntos y acumula una suba de + 8,8 % con respecto al día de ayer. #Argentina #CoronavirusEnArgentina #cuarentena #pandemia #FelizJueves #BuenDia #Covid_19 #12Mar #AhoraDicen #Finanzas",,,#RiesgoPa #AHORA #Argentina #CoronavirusEnArgentina #cuarentena #pandemia #FelizJueves #BuenDia #Covid_19 #12Mar #AhoraDicen #Finanzas,1238105742277836803,https://twitter.com/GastonBres95/status/1238105742277836803
2020-03-12 13:57:41,LeandroF_CABJ,,0,0,1,"Dale, @Covid19_Time, ponete las pilas y hacé bajar el dólar.",,@Covid19_Time,,1238101864119521280,https://twitter.com/LeandroF_CABJ/status/1238101864119521280
2020-03-12 13:39:17,aquinomaia_,,0,0,3,"con el covid19 resurgió en mí la maia traumada de 13 años fóbica a los gérmenes y superficies en uuuuna",,,,1238097232320180224,https://twitter.com/aquinomaia_/status/1238097232320180224
2020-03-12 13:36:23,smredondo,,0,0,0,"China da por superado el pico de transmisiones de COVID-19 en el país ",,,,1238096500829364226,https://twitter.com/smredondo/status/1238096500829364226
2020-03-12 13:16:30,VillarruelJere,,0,0,0,"Acaban de confirmar que va a tocar la banda #coronavirus y de telonista #COVID19 en el @lollapaloozaar los 3 días, en todos los escenarios.",,@lollapaloozaar,#coronavirus #COVID19,1238091498845061121,https://twitter.com/VillarruelJere/status/1238091498845061121
2020-03-12 13:05:07,sorrudeternalpa,emandeb,0,0,0,"La ""piel"" del COVID-19 es una película de grasa. El alcohol disuelve algunas grasas. El jabón las atrapa a TODAS y el agua las escurre. AGUA Y JABÓN. ",,,,1238088633464303617,https://twitter.com/sorrudeternalpa/status/1238088633464303617
2020-03-12 13:00:37,gpmagda,eracucu,0,0,1,"Me parece que lo del covid-19 esta provocando que la gente que puede evite el transporte público",,,,1238087500364681222,https://twitter.com/gpmagda/status/1238087500364681222
2020-03-12 12:59:25,boxeoboxing,,0,6,4,"#OFICIAL #muymportante Carta enviada por @WBABoxing a la COI Boxing Task Force en relación a los preolímpicos de boxeo y la incidencia del #Covid_19 @GilberticoWBA @NotiFight @gulepama @Lautaro68718425 @ChavaESPN @cercadelring",,@WBABoxing @GilberticoWBA @NotiFight @gulepama @Lautaro68718425 @ChavaESPN @cercadelring,#OFICIAL #muymportante #Covid_19,1238087199582760968,https://twitter.com/boxeoboxing/status/1238087199582760968
2020-03-12 12:45:06,italodaffra,,0,0,2,"Hace unas semanas recibí una cadena en WhatsApp con consejos para cuidarse del #COVID19 y se lo mandé al equipo de @AfpFactual jutamente por WhatsApp. Este es el resultado ",,@AfpFactual,#COVID19,1238083594704338945,https://twitter.com/italodaffra/status/1238083594704338945
